epoch;loss;mean_squared_error;val_loss;val_mean_squared_error
0;0.11258693039417267;0.11258693039417267;0.0424467995762825;0.0424467995762825
1;0.049054376780986786;0.049054376780986786;0.042570166289806366;0.042570166289806366
2;0.04537082090973854;0.04537082090973854;0.04453756660223007;0.04453756660223007
3;0.042169615626335144;0.042169615626335144;0.046203017234802246;0.046203017234802246
4;0.03740872070193291;0.03740872070193291;0.04038205370306969;0.04038205370306969
5;0.033439699560403824;0.033439699560403824;0.038267575204372406;0.038267575204372406
6;0.031107550486922264;0.031107550486922264;0.03428766131401062;0.03428766131401062
7;0.028293224051594734;0.028293224051594734;0.029663870111107826;0.029663870111107826
8;0.025289779528975487;0.025289779528975487;0.02894207090139389;0.02894207090139389
9;0.02549448423087597;0.02549448423087597;0.028353426605463028;0.028353426605463028
10;0.022183818742632866;0.022183818742632866;0.02657812274992466;0.02657812274992466
11;0.020183846354484558;0.020183846354484558;0.02434816025197506;0.02434816025197506
12;0.01817140355706215;0.01817140355706215;0.028298847377300262;0.028298847377300262
13;0.01941053941845894;0.01941053941845894;0.026581063866615295;0.026581063866615295
14;0.01980646327137947;0.01980646327137947;0.028204871341586113;0.028204871341586113
15;0.017801612615585327;0.017801612615585327;0.02077077515423298;0.02077077515423298
16;0.017047064378857613;0.017047064378857613;0.025060130283236504;0.025060130283236504
17;0.016290022060275078;0.016290022060275078;0.02538108453154564;0.02538108453154564
18;0.016290931031107903;0.016290931031107903;0.019276686012744904;0.019276686012744904
19;0.01566332019865513;0.01566332019865513;0.019688021391630173;0.019688021391630173
20;0.016265220940113068;0.016265220940113068;0.027954895049333572;0.027954895049333572
21;0.01670769974589348;0.01670769974589348;0.019662052392959595;0.019662052392959595
22;0.015781592577695847;0.015781592577695847;0.019524680450558662;0.019524680450558662
23;0.014467866159975529;0.014467866159975529;0.018249008804559708;0.018249008804559708
24;0.014270779676735401;0.014270779676735401;0.01952655240893364;0.01952655240893364
25;0.015384542755782604;0.015384542755782604;0.02021627686917782;0.02021627686917782
26;0.014642849564552307;0.014642849564552307;0.01849221996963024;0.01849221996963024
27;0.013751613907516003;0.013751613907516003;0.017252551391720772;0.017252551391720772
28;0.013423344120383263;0.013423344120383263;0.017776688560843468;0.017776688560843468
29;0.012715299613773823;0.012715299613773823;0.018320607021450996;0.018320607021450996
30;0.012436596676707268;0.012436596676707268;0.018240295350551605;0.018240295350551605
31;0.012782464735209942;0.012782464735209942;0.01634899154305458;0.01634899154305458
